Município,Ano,RISP,RMBH,Número de Vítimas
ARACUAI,2016,15º RISP - Teófilo Otoni,3) Interior de MG,405
ARACUAI,2017,15º RISP - Teófilo Otoni,3) Interior de MG,416
ARACUAI,2018,15º RISP - Teófilo Otoni,3) Interior de MG,304
ARACUAI,2019,15º RISP - Teófilo Otoni,3) Interior de MG,295
ARACUAI,2020,15º Departamento - Teófilo Otoni,3) Interior de MG,320
ARACUAI,2021,15º Departamento - Teófilo Otoni,3) Interior de MG,295
ARAGUARI,2014,9º RISP - Uberlândia,3) Interior de MG,1169
ARAGUARI,2015,9º RISP - Uberlândia,3) Interior de MG,753
ARAGUARI,2016,9º RISP - Uberlândia,3) Interior de MG,667
ARAGUARI,2017,9º RISP - Uberlândia,3) Interior de MG,716
ARAGUARI,2018,9º RISP - Uberlândia,3) Interior de MG,812
ARAGUARI,2019,9º RISP - Uberlândia,3) Interior de MG,883
ARAGUARI,2020,9º Departamento - Uberlândia,3) Interior de MG,891
ARAGUARI,2021,9º Departamento - Uberlândia,3) Interior de MG,839
ARANTINA,2014,13º RISP - Barbacena,3) Interior de MG,8
ARANTINA,2015,13º RISP - Barbacena,3) Interior de MG,14
ARANTINA,2016,13º RISP - Barbacena,3) Interior de MG,11
ARANTINA,2017,13º RISP - Barbacena,3) Interior de MG,5
ARANTINA,2018,13º RISP - Barbacena,3) Interior de MG,7
ARANTINA,2019,13º RISP - Barbacena,3) Interior de MG,15
ARANTINA,2020,13º Departamento - Barbacena,3) Interior de MG,13
ARANTINA,2021,13º Departamento - Barbacena,3) Interior de MG,2
ARAPONGA,2014,4º RISP - Juiz de Fora,3) Interior de MG,31
ARAPONGA,2015,4º RISP - Juiz de Fora,3) Interior de MG,37
ARAPONGA,2016,4º RISP - Juiz de Fora,3) Interior de MG,39
ARAPONGA,2017,4º RISP - Juiz de Fora,3) Interior de MG,31
ARAPONGA,2018,4º RISP - Juiz de Fora,3) Interior de MG,23
ARAPONGA,2019,4º RISP - Juiz de Fora,3) Interior de MG,28
ARAPONGA,2020,4º Departamento - Juiz de Fora,3) Interior de MG,29
ARAPONGA,2021,4º Departamento - Juiz de Fora,3) Interior de MG,23
ARAPORA,2014,9º RISP - Uberlândia,3) Interior de MG,38
ARAPORA,2015,9º RISP - Uberlândia,3) Interior de MG,45
ARAPORA,2016,9º RISP - Uberlândia,3) Interior de MG,32
ARAPORA,2017,9º RISP - Uberlândia,3) Interior de MG,43
ARAPORA,2018,9º RISP - Uberlândia,3) Interior de MG,49
ARAPORA,2019,9º RISP - Uberlândia,3) Interior de MG,49
ARAPORA,2020,9º Departamento - Uberlândia,3) Interior de MG,45
ARAPORA,2021,9º Departamento - Uberlândia,3) Interior de MG,56
ARAPUA,2014,10º RISP - Patos de Minas,3) Interior de MG,10
ARAPUA,2015,10º RISP - Patos de Minas,3) Interior de MG,6
ARAPUA,2016,10º RISP - Patos de Minas,3) Interior de MG,15
ARAPUA,2017,10º RISP - Patos de Minas,3) Interior de MG,10
ARAPUA,2018,10º RISP - Patos de Minas,3) Interior de MG,13
ARAPUA,2019,10º RISP - Patos de Minas,3) Interior de MG,10
ARAPUA,2020,10º Departamento - Patos de Minas,3) Interior de MG,12
ARAPUA,2021,10º Departamento - Patos de Minas,3) Interior de MG,9
ARAUJOS,2014,7º RISP - Divinópolis,3) Interior de MG,75
ARAUJOS,2015,7º RISP - Divinópolis,3) Interior de MG,68
ARAUJOS,2016,7º RISP - Divinópolis,3) Interior de MG,55
ARAUJOS,2017,7º RISP - Divinópolis,3) Interior de MG,40
ARAUJOS,2018,7º RISP - Divinópolis,3) Interior de MG,21
