ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
156,SAO JUDAS TADEU,Bairro,2,66,0,11,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
157,SAO LUCAS,Bairro,2,12,1,3,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
158,SAO LUIZ,Bairro,2,47,3,3,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
159,SAO MIGUEL,Bairro,2,43,0,3,38.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
160,SAO PAULO,Bairro,2,1,0,4,21.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
161,SAO ROQUE,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
162,SAO SEBASTIAO,Bairro,2,27,0,6,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
163,SAO SIMAO,Bairro,2,20,0,5,31.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
164,SAVASSI,Bairro,2,7,0,1,35.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
165,SERRA VERDE,Bairro,2,9,0,6,42.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
166,SION,Bairro,2,21,1,3,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
167,TERRA AZUL,Bairro,2,33,2,4,40.0,PARDA,ALFABETIZADO
168,TIETE,Bairro,2,37,1,4,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
169,TOTONHO CARVALHO,Bairro,2,0,0,5,-1.0,DESCONHECIDO,DESCONHECIDO
170,UNIVERSITARIO,Bairro,2,5,0,4,29.0,PARDA,SUPERIOR COMPLETO
171,VALE DO SOL,Bairro,2,39,2,4,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
172,VILA BELO HORIZONTE,Bairro,2,49,0,6,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
173,VILA CASTELO,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
174,VILA CENTRAL DO DIVINO,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
175,VILA CRUZEIRO,Bairro,2,26,1,8,43.0,BRANCA,SUPERIOR COMPLETO
176,VILA DAS OLIVEIRAS,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
177,VILA DAS ROSEIRAS,Bairro,2,63,0,2,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
178,VILA MINAS GERAIS,Bairro,2,0,0,4,-1.0,DESCONHECIDO,DESCONHECIDO
179,VILA RICA,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
180,VILA RICA ,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
181,VILA ROMANA,Bairro,2,21,0,3,47.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
182,VILA ROSEIRAS,Bairro,2,2,0,1,39.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
183,VILA SANTO ANDRE,Bairro,2,6,0,2,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
184,VISTA ALEGRE,Bairro,2,9,1,5,37.0,BRANCA,ALFABETIZADO
185,VIVENDAS DA EXPOSICAO,Bairro,2,1,0,6,37.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
186,WALCHIR RESENDE,Bairro,2,5,0,2,44.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
187,XAVANTE,Bairro,2,6,0,1,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
188,YANES,Bairro,2,0,0,5,-1.0,DESCONHECIDO,DESCONHECIDO
