ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
121,OSWALDO MACHADO GONTIJO,,,,Bairro,2,0.012048192771084338,0.0,3.0,54.0,PARDA,ALFABETIZADO
122,PADRE EUSTAQUIO,,,,Bairro,2,0.06827309236947791,0.0,5.0,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
123,PADRE HERCULANO,,,,Bairro,2,0.009370816599732263,0.0,2.0,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
124,PADRE LIBERIO,,,,Bairro,2,0.05220883534136546,0.0,1.0,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
125,PARAISO,,,,Bairro,2,0.049531459170013385,2.0,7.0,36.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
126,PLANALTO,,,,Bairro,2,0.06827309236947791,1.0,5.0,38.0,BRANCA,SUPERIOR COMPLETO
127,PONTE FUNDA,,,,Bairro,2,0.07898259705488621,2.0,4.0,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
128,PORTO VELHO,,,,Bairro,2,0.21285140562248997,0.0,6.0,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
129,PRIMAVERA,,,,Bairro,2,0.009370816599732263,0.0,3.0,30.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
130,PROGRESSO,,,,Bairro,2,0.0013386880856760374,0.0,1.0,56.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
131,QUINTA DAS PALMEIRAS,,,,Bairro,2,0.008032128514056224,0.0,6.0,29.0,PARDA,ALFABETIZADO
132,QUINTINO,,,,Bairro,2,0.040160642570281124,1.0,3.0,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
133,RANCHO ALEGRE,,,,Bairro,2,0.03480589022757698,2.0,4.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
134,REALENGO,,,,Bairro,2,0.058902275769745646,1.0,5.0,35.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
135,RESIDENCIAL ALTO DAS OLIVEIRAS,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
136,SAGRADA FAMILIA,,,,Bairro,2,0.03480589022757698,0.0,5.0,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
137,SANTA CLARA,,,,Bairro,2,0.09103078982597054,0.0,5.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
138,SANTA CRUZ,,,,Bairro,2,0.022757697456492636,0.0,4.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
